Names	Areas	Label	timezone
Aachen/Aix la Chapelle	stop_area:OCE:SA:80153452	Aachen/Aix la Chapelle (Aachen)	Europe/Paris
	stop_area:OCE:SA:87287243	 (Genech)	Europe/Paris
	stop_area:OCE:SA:87286740	 (Tressin)	Europe/Paris
	stop_area:OCE:SA:87287219	 (Anstaing)	Europe/Paris
Achères-Ville	stop_area:OCE:SA:87381657	Achères-Ville (Achères)	Europe/Paris
	stop_area:OCE:SA:87110288	 (Joué-lès-Tours)	Europe/Paris
Accolay-Le-Pont	stop_area:OCE:SA:87677252	Accolay-Le-Pont (Deux Rivières)	Europe/Paris
Abbeville	stop_area:OCE:SA:87317362	Abbeville (Abbeville)	Europe/Paris
.	stop_area:OCE:SA:00	.	Europe/Paris
Abbaretz	stop_area:OCE:SA:87481614	Abbaretz (Abbaretz)	Europe/Paris
Ablon	stop_area:OCE:SA:87545269	Ablon (Ablon-sur-Seine)	Europe/Paris
	stop_area:OCE:SA:87286781	 (Cysoing)	Europe/Paris
	stop_area:OCE:SA:87279166	 (Niherne)	Europe/Paris
Achiet	stop_area:OCE:SA:87342048	Achiet (Achiet-le-Grand)	Europe/Paris
Aboncourt	stop_area:OCE:SA:87191403	Aboncourt (Aboncourt)	Europe/Paris
	stop_area:OCE:SA:87699298		Europe/Paris
	stop_area:OCE:SA:87286807	 (Genech)	Europe/Paris
Abancourt	stop_area:OCE:SA:87313759	Abancourt (Abancourt)	Europe/Paris
Adamswiller Lot. forêt.	stop_area:OCE:SA:87658856	Adamswiller Lot. forêt. (Adamswiller)	Europe/Paris
	stop_area:OCE:SA:87689737	 (Tours)	Europe/Paris
Adamswiller-(Mairie).	stop_area:OCE:SA:87658922	Adamswiller-(Mairie). (Adamswiller)	Europe/Paris
	stop_area:OCE:SA:87287235	 (Cysoing)	Europe/Paris
	stop_area:OCE:SA:87644112	 (Courçay)	Europe/Paris
Achères-Grand-Cormier	stop_area:OCE:SA:87386052	Achères-Grand-Cormier (Saint-Germain-en-Laye)	Europe/Paris
Abrest Mairie	stop_area:OCE:SA:87721944	Abrest Mairie (Abrest)	Europe/Paris
